Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Contrex,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Contrex, Vosges",Nestlé Waters France,1977,6.8,1671,2078,1382.2,448.3,17.6,1.2,3.1,15.1,134.8,11.3,0.78,33.8,1893.9,23.6,19.6,58.5,0.189,1.37,4.0,0.061,0.18,5.2,0.006,0.34,4.8,Traces détectées,0.047,0.47,56.0,4.7,Selon composition minérale,Surveillance post-scandale Nestlé,14.6,2025-07-10,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.19,2.5,66.8,Conforme,Conforme sous surveillance renforcée,Eau minérale naturelle - Surveillance renforcée,Surveillance post-scandale Nestlé
Hépar,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Hépar, Vosges",Nestlé Waters France,1901,7.7,1855,2513,1485.6,402.1,61.7,31.8,7.9,48.5,111.0,20.0,0.21,6.8,3342.1,27.3,11.0,60.5,0.184,1.07,5.8,0.024,0.11,5.6,0.009,0.23,62.7,Traces détectées,0.032,0.25,50.3,16.5,Selon composition minérale,Surveillance post-scandale Nestlé,18.2,2025-07-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.22,2.1,60.9,Conforme,Conforme sous surveillance renforcée,Eau minérale naturelle - Surveillance renforcée,Surveillance post-scandale Nestlé
Vittel,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Non,"Source Vittel, Vosges",Nestlé Waters France,1883,7.2,599,841,489.7,108.3,32.3,12.2,6.0,21.4,46.4,12.5,1.49,12.4,2953.6,22.6,15.1,66.5,0.228,1.32,4.2,0.042,0.15,1.3,0.009,0.05,46.4,Traces détectées,0.051,0.99,13.5,8.6,Selon composition minérale,Surveillance post-scandale Nestlé,15.9,2025-07-23,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.29,3.4,54.2,Conforme,Conforme sous surveillance renforcée,Eau minérale naturelle - Surveillance renforcée,Surveillance post-scandale Nestlé
Saint-Yorre,Eau minérale naturelle,Très fortement minéralisée (>3000 mg/L),Oui,"Source Saint-Yorre, Centre",Castel Group (Roxane),1904,6.0,3566,4364,679.6,98.7,75.0,869.8,90.3,1049.6,38.7,11.3,0.94,13.0,798.5,12.3,7.2,28.2,0.127,0.58,0.3,0.049,0.24,8.5,0.006,0.06,50.1,Traces détectées,0.011,1.77,12.3,20.0,Selon composition minérale,Aucune,34.1,2025-07-07,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.31,3.0,87.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Vichy Célestins,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Vichy, Centre",Castel Group (Roxane),1954,6.4,5057,3328,974.5,253.1,40.5,1225.0,123.4,1477.1,67.0,17.0,1.55,12.4,872.9,9.3,7.4,28.1,0.122,0.83,7.1,0.043,0.06,5.4,0.014,0.04,7.1,Traces détectées,0.022,1.43,31.6,10.8,Selon composition minérale,Aucune,4.7,2025-08-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.2,1.5,71.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Châteldon,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Châteldon, Massif Central",Groupe régional,1965,6.2,2053,1882,1608.6,488.6,39.6,37.8,7.0,55.7,133.3,7.4,0.28,14.7,131.8,0.2,0.3,1.8,0.014,0.17,0.9,0.056,0.18,5.0,0.007,0.04,20.7,Non détecté,0.066,0.14,61.1,10.6,Selon composition minérale,Aucune,2.4,2025-07-16,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.19,2.8,69.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Arvie,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Arvie, Massif Central",Groupe régional,1899,6.2,944,2520,692.7,159.8,43.0,45.0,8.7,59.8,49.2,5.7,1.43,7.8,125.4,1.0,1.0,3.4,0.056,0.26,7.3,0.069,0.13,3.4,0.01,0.14,15.6,Non détecté,0.062,0.45,20.0,11.5,Selon composition minérale,Aucune,9.0,2025-08-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.14,3.0,67.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Châteauneuf-Auvergne,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Châteauneuf-Auvergne, Massif Central",Groupe régional,1878,5.8,1505,2586,1220.6,389.9,7.0,31.7,7.5,42.5,113.0,3.1,0.06,36.6,113.0,0.4,0.2,2.4,0.016,0.15,1.8,0.029,0.1,6.9,0.006,0.25,10.3,Non détecté,0.047,0.31,48.7,1.9,Selon composition minérale,Aucune,8.4,2025-08-17,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.36,2.6,54.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Rozana,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Rozana, Sud",Groupe régional,1945,6.4,1385,3325,1071.5,311.3,39.6,23.0,5.7,32.3,93.4,1.4,1.13,23.1,1315.5,14.3,3.0,22.5,0.073,0.41,3.8,0.069,0.17,2.3,0.013,0.08,49.1,Traces détectées,0.042,0.98,38.9,10.6,Selon composition minérale,Aucune,30.0,2025-07-15,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.4,1.8,75.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Orezza,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Orezza, Sud",Groupe régional,1907,6.0,1417,2300,1130.0,254.7,82.0,20.8,3.2,29.8,77.8,3.9,0.37,36.6,1250.0,12.8,9.4,29.9,0.135,0.56,7.1,0.059,0.17,4.9,0.015,0.1,61.3,Traces détectées,0.015,0.99,31.8,21.9,Selon composition minérale,Aucune,16.3,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.3,2.0,72.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Courmayeur,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Courmayeur, Import",Groupe régional,1933,7.0,709,2146,628.2,127.4,45.8,2.3,4.4,13.3,51.4,4.9,1.47,35.2,72.4,0.4,0.7,1.6,0.041,0.04,5.7,0.039,0.22,9.5,0.015,0.32,71.2,Non détecté,0.033,1.9,15.9,12.2,Selon composition minérale,Aucune,7.6,2025-07-03,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,2.5,80.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Velleminfroy,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Velleminfroy, Vosges",Groupe régional,1935,7.8,1932,2420,1597.3,418.1,83.0,1.3,4.3,14.8,112.8,5.0,1.81,22.5,649.9,9.0,7.3,22.8,0.097,0.64,1.5,0.066,0.24,7.5,0.009,0.24,15.4,Traces détectées,0.033,1.4,52.3,22.1,Selon composition minérale,Aucune,21.0,2025-08-01,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,3.0,86.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Antonin,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Saint-Antonin, Sud",Groupe régional,1886,7.5,599,2440,499.9,90.8,45.6,8.1,4.1,18.3,26.5,2.6,1.36,30.4,1440.3,3.8,5.6,13.4,0.069,0.52,4.4,0.051,0.12,9.8,0.007,0.04,77.0,Traces détectées,0.056,0.35,11.3,12.2,Selon composition minérale,Aucune,30.9,2025-08-29,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.11,1.5,54.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Aizac,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source Aizac, Sud",Groupe régional,1986,5.9,1906,470,1551.3,365.4,96.8,26.5,4.9,34.3,111.8,1.7,0.6,11.2,302.4,6.2,2.9,14.6,0.06,0.37,2.2,0.025,0.11,11.1,0.015,0.32,37.6,Traces détectées,0.025,0.3,45.7,25.8,Selon composition minérale,Aucune,31.4,2025-08-14,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.21,1.3,64.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Chambon,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Chambon, Centre",Groupe régional,1973,7.6,1499,349,1195.1,326.9,41.1,38.9,8.2,54.4,94.4,5.0,0.19,11.0,1357.8,2.1,4.9,18.9,0.087,0.59,7.5,0.082,0.2,1.4,0.009,0.31,79.9,Traces détectées,0.038,1.16,40.9,11.0,Selon composition minérale,Aucune,7.7,2025-07-11,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.1,2.6,49.8,Conforme,Conforme,Eau minérale naturelle,Aucune
César,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source César, Massif Central",Groupe régional,1973,8.0,1731,320,1365.4,307.8,94.4,38.9,6.5,50.5,84.0,19.5,1.05,18.3,149.5,0.5,0.6,2.9,0.057,0.08,3.4,0.035,0.13,2.6,0.007,0.04,9.8,Non détecté,0.049,1.05,38.5,25.2,Selon composition minérale,Aucune,14.9,2025-07-24,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.38,2.4,58.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Biovive,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Biovive, Sud",Groupe régional,1987,6.9,1147,245,864.9,193.3,58.3,45.0,5.7,58.7,71.2,5.4,0.33,26.9,827.0,10.2,9.3,23.7,0.119,0.73,4.4,0.081,0.07,3.8,0.012,0.22,79.1,Traces détectées,0.023,0.94,24.2,15.5,Selon composition minérale,Aucune,4.9,2025-08-27,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,3.0,85.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Alet,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Alet, Sud",Groupe régional,1917,6.8,1903,290,1465.7,469.0,28.7,31.5,5.1,42.6,122.6,12.4,1.12,32.5,958.9,9.3,5.5,19.0,0.09,0.29,6.8,0.058,0.11,2.0,0.004,0.26,22.5,Traces détectées,0.003,0.17,58.6,7.7,Selon composition minérale,Aucune,31.6,2025-08-11,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.34,3.5,45.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Cristaline (Multi-sources),Eau de source,Variable selon source,Non,"Source Cristaline, Centre",Groupe régional,Non applicable,7.0,319,287,187.2,10.1,29.3,37.3,7.8,53.2,18.2,17.5,0.91,35.2,729.7,2.1,3.8,18.3,0.096,0.55,7.1,0.047,0.2,8.0,0.006,0.02,47.1,Traces détectées,0.057,1.97,1.3,7.8,Selon composition minérale,Aucune,26.0,2025-08-01,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.14,2.0,68.0,Conforme,Conforme,Eau de source,Aucune
Source Montclar,Eau de source,Faiblement minéralisée,Non,"Source Source, Sud",Groupe régional,Non applicable,7.0,1736,420,1403.1,401.7,41.4,30.5,6.8,40.5,106.4,31.6,1.15,27.7,910.1,8.3,1.8,27.7,0.103,0.91,3.5,0.043,0.12,5.2,0.006,0.3,10.1,Traces détectées,0.004,0.07,50.2,11.0,Selon composition minérale,Aucune,11.1,2025-07-14,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.35,1.7,86.5,Conforme,Conforme,Eau de source,Aucune
Source Adeline,Eau de source,Faiblement minéralisée,Non,"Source Source, Sud",Groupe régional,Non applicable,7.2,1173,410,966.8,214.7,74.0,2.3,4.0,5.0,75.5,27.2,1.52,5.7,1171.0,12.6,3.2,33.2,0.108,0.73,5.2,0.028,0.12,2.6,0.003,0.1,49.9,Traces détectées,0.014,0.96,26.8,19.7,Selon composition minérale,Aucune,24.7,2025-07-22,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.16,1.8,83.1,Conforme,Conforme,Eau de source,Aucune
Eau Royale,Eau de source,Faiblement minéralisée,Non,"Source Eau, Centre",Groupe régional,Non applicable,7.9,927,340,702.6,179.6,38.9,25.1,6.3,44.2,64.5,2.1,1.06,33.4,1213.5,5.5,8.5,22.4,0.077,0.71,5.4,0.035,0.17,1.5,0.013,0.22,20.8,Traces détectées,0.034,1.28,22.4,10.4,Selon composition minérale,Aucune,34.4,2025-08-19,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.26,1.7,54.1,Conforme,Conforme,Eau de source,Aucune
Orée du Bois,Eau de source,Faiblement minéralisée,Non,"Source Orée, Centre",Groupe régional,Non applicable,6.9,616,350,509.0,96.7,38.7,19.2,2.8,35.3,29.8,9.6,0.7,13.8,1117.4,11.7,5.6,31.8,0.114,0.6,6.2,0.043,0.18,9.2,0.008,0.33,70.3,Traces détectées,0.02,1.73,12.1,10.3,Selon composition minérale,Aucune,23.2,2025-07-23,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,1.3,45.9,Conforme,Conforme,Eau de source,Aucune
Puits-Saint-Georges,Eau de source,Faiblement minéralisée,Non,"Source Puits-Saint-Georges, Centre",Groupe régional,Non applicable,7.1,1566,370,1174.5,379.0,15.2,48.2,7.5,69.8,101.9,20.0,0.51,6.4,1450.3,7.2,2.3,25.4,0.081,0.75,7.5,0.07,0.18,2.4,0.003,0.34,35.1,Traces détectées,0.013,0.95,47.4,4.1,Selon composition minérale,Aucune,29.8,2025-08-05,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.09,3.0,72.2,Conforme,Conforme,Eau de source,Aucune
Fiji Water,Eau de source,Faiblement minéralisée,Non,"Source Fiji, Import",Groupe régional,Non applicable,8.0,893,222,720.7,171.3,41.7,18.7,4.1,29.7,47.5,34.0,1.6,37.3,50.0,1.4,0.4,3.7,0.026,0.39,0.7,0.04,0.2,10.2,0.01,0.32,25.6,Non détecté,0.073,0.09,21.4,11.1,Selon composition minérale,Aucune,27.6,2025-08-04,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.27,2.8,73.6,Conforme,Conforme,Eau de source,Aucune
Ondine (Leclerc),Eau de source,Variable selon source,Non,"Source Ondine, Ile de France",Groupe régional,Non applicable,7.7,1877,210,1557.4,444.9,47.5,17.0,5.6,27.0,119.0,27.4,0.44,30.8,19335.3,102.0,149.1,554.6,1.678,8.72,7.4,0.031,0.1,2.9,0.008,0.06,72.7,Traces détectées,0.045,0.07,55.6,12.7,Selon composition minérale,INTERDITE populations sensibles,20.7,2025-08-09,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.19,1.9,87.0,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Carrefour Eau de Source,Eau de source,Variable selon source,Non,"Source Carrefour, Ile de France",Groupe régional,Non applicable,7.6,703,205,531.4,158.2,6.9,34.6,7.8,46.6,63.1,16.1,0.26,38.7,9527.8,109.8,63.3,462.6,1.392,7.38,3.5,0.057,0.23,11.5,0.015,0.24,69.4,Traces détectées,0.028,0.45,19.8,1.8,Selon composition minérale,INTERDITE populations sensibles,29.3,2025-08-12,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,2.0,77.7,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Auchan Eau de Source,Eau de source,Variable selon source,Non,"Source Auchan, Ile de France",Groupe régional,Non applicable,6.9,1356,198,1027.5,236.1,66.3,49.3,6.7,72.7,65.1,29.8,1.53,27.1,15608.6,152.2,125.0,534.7,1.645,8.25,3.2,0.023,0.16,8.5,0.008,0.16,10.5,Traces détectées,0.075,1.65,29.5,17.7,Selon composition minérale,INTERDITE populations sensibles,14.7,2025-08-06,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.16,3.1,42.5,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Eco+ Eau de Source,Eau de source,Variable selon source,Non,"Source Eco+, Ile de France",Groupe régional,Non applicable,7.2,2147,202,1695.2,492.3,53.4,38.9,8.5,52.5,131.3,33.0,1.79,12.8,12456.9,117.7,143.0,460.3,1.386,7.11,1.8,0.058,0.13,2.2,0.01,0.11,58.6,Traces détectées,0.029,0.83,61.5,14.2,Selon composition minérale,INTERDITE populations sensibles,17.6,2025-08-05,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.23,2.6,51.0,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Casino Eau de Source,Eau de source,Variable selon source,Non,"Source Casino, Ile de France",Groupe régional,Non applicable,7.1,1091,207,913.7,160.8,91.8,4.4,5.2,10.7,55.8,9.4,1.93,6.8,13132.5,109.8,132.5,579.0,1.778,8.77,6.5,0.037,0.25,0.3,0.008,0.24,63.8,Traces détectées,0.036,0.82,20.1,24.5,Selon composition minérale,INTERDITE populations sensibles,26.5,2025-08-19,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.18,3.5,78.8,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Top Budget (Intermarché),Eau de source,Variable selon source,Non,"Source Top, Ile de France",Groupe régional,Non applicable,7.7,1936,200,1558.3,411.7,72.6,27.7,4.7,36.1,123.7,22.6,1.13,24.9,13205.0,120.8,58.0,300.6,0.922,4.94,1.0,0.063,0.13,5.5,0.013,0.3,67.0,Traces détectées,0.044,0.57,51.5,19.4,Selon composition minérale,INTERDITE populations sensibles,7.8,2025-08-21,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.37,2.3,60.2,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Monoprix Eau de Source,Eau de source,Variable selon source,Non,"Source Monoprix, Ile de France",Groupe régional,Non applicable,7.6,1362,210,1105.5,261.1,64.2,27.7,4.3,44.1,88.9,27.4,0.21,23.5,21593.8,119.6,69.1,398.9,1.197,6.22,2.9,0.053,0.15,7.0,0.011,0.09,38.3,Traces détectées,0.073,0.34,32.6,17.1,Selon composition minérale,INTERDITE populations sensibles,34.1,2025-08-27,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.23,1.8,62.4,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Saskia (Lidl),Eau de source,Variable selon source,Non,"Source Saskia, Ile de France",Groupe régional,Non applicable,7.5,1138,205,886.6,138.9,91.3,43.8,8.4,60.7,57.5,30.6,1.82,37.2,24998.2,147.4,146.6,452.1,1.388,6.81,1.1,0.045,0.16,5.7,0.012,0.14,3.0,Traces détectées,0.048,0.22,17.4,24.3,Selon composition minérale,INTERDITE populations sensibles,19.3,2025-08-21,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,1.5,78.5,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Aldi Eau de Source,Eau de source,Variable selon source,Non,"Source Aldi, Ile de France",Groupe régional,Non applicable,7.4,1842,200,1410.9,405.7,51.3,42.0,7.0,62.1,119.2,25.5,0.47,31.3,21838.4,93.8,82.7,413.7,1.288,6.52,4.8,0.063,0.05,10.3,0.007,0.03,60.5,Traces détectées,0.051,0.9,50.7,13.7,Selon composition minérale,INTERDITE populations sensibles,10.9,2025-08-02,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.29,2.4,83.5,Conforme,NON CONFORME PFAS - Restriction officielle,Eau de source,INTERDITE populations sensibles
Eau du robinet - Saint-Louis (Haut-Rhin),Eau du robinet,Variable région (550 mg/L),Non,Nappes phréatiques Rhin - Haut-Rhin (68),Saint-Louis Agglomération (Veolia),Service public,7.6,618,550,534.6,125.0,22.0,18.0,2.5,24.6,40.4,18.5,0.3,9.7,3266.2,135.9,89.4,383.4,1.187,6.17,4.2,0.024,0.2,25.2,0.01,0.12,15.4,Traces multiples,0.031,1.79,15.6,5.9,Aucune (eau du robinet),INTERDITE populations sensibles,31.3,2025-08-26,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,NON CONFORME PFAS - Restriction officielle,Eau du robinet,INTERDITE populations sensibles
Eau du robinet - Paris Île-de-France,Eau du robinet,Variable région (420 mg/L),Non,"Seine, Marne, nappes souterraines - Paris/IDF",Eau de Paris (régie publique),Service public,7.8,380,420,373.0,90.0,6.0,10.0,4.6,24.1,36.0,29.0,1.73,32.9,6368.3,10.8,12.0,42.9,0.161,0.84,6.8,0.065,0.22,19.8,0.009,0.27,68.2,Traces multiples,0.072,1.61,11.2,1.6,Aucune (eau du robinet),Surveillance TFA/tritium populations sensibles,30.5,2025-07-28,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance TFA/tritium populations sensibles
Eau du robinet - Nantes Loire-Atlantique,Eau du robinet,Variable région (180 mg/L),Non,"Loire, Erdre - Loire-Atlantique (44)",Nantes Métropole,Service public,7.3,150,180,143.2,22.0,4.5,15.0,2.1,22.9,19.5,32.5,0.62,16.8,335.0,10.2,4.1,19.7,0.096,0.56,4.6,0.078,0.24,40.9,0.02,0.25,56.6,Traces détectées,0.071,0.36,2.8,1.2,Aucune (eau du robinet),Surveillance TFA/tritium populations sensibles,33.4,2025-07-22,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance TFA/tritium populations sensibles
Eau du robinet - Angers Maine-et-Loire,Eau du robinet,Variable région (210 mg/L),Non,"Loire, Maine - Maine-et-Loire (49)",Angers Loire Métropole,Service public,7.4,170,210,176.0,28.0,6.0,12.0,3.0,22.6,13.9,35.0,0.8,35.7,647.0,7.4,5.6,24.7,0.109,0.64,6.5,0.038,0.23,35.5,0.009,0.32,59.2,Traces multiples,0.073,0.61,3.5,1.6,Aucune (eau du robinet),Surveillance TFA/tritium populations sensibles,31.5,2025-07-19,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance TFA/tritium populations sensibles
Eau du robinet - Tours Indre-et-Loire,Eau du robinet,Variable région (390 mg/L),Non,"Loire, Cher - Indre-et-Loire (37)",Tours Métropole Val de Loire,Service public,7.5,403,390,335.1,85.0,8.5,18.0,4.0,30.4,31.8,28.0,1.91,36.8,991.3,14.1,1.7,26.1,0.081,0.78,1.9,0.079,0.16,46.3,0.014,0.31,19.3,Traces multiples,0.039,0.93,10.6,2.3,Aucune (eau du robinet),Surveillance TFA/tritium populations sensibles,16.9,2025-07-09,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance TFA/tritium populations sensibles
Eau du robinet - Orléans Centre-Val de Loire,Eau du robinet,Variable région (350 mg/L),Non,"Loire, nappes - Loiret (45)",Orléans Métropole,Service public,7.6,388,350,365.7,78.0,12.0,15.0,3.4,31.0,22.7,25.0,0.38,11.5,404.2,9.0,2.1,28.3,0.105,0.69,3.4,0.04,0.24,44.3,0.013,0.3,74.2,Traces multiples,0.067,0.93,9.8,3.2,Aucune (eau du robinet),Surveillance TFA/tritium populations sensibles,4.7,2025-08-26,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance TFA/tritium populations sensibles
Eau du robinet - Lyon Rhône-Alpes,Eau du robinet,Variable région (320 mg/L),Non,"Rhône, nappes alluviales - Rhône (69)",Eau du Grand Lyon (Veolia),Service public,7.5,367,320,309.7,78.0,12.0,8.5,2.0,24.5,23.3,18.0,0.61,30.5,1125.2,14.3,8.1,38.7,0.145,0.68,2.2,0.082,0.08,8.6,0.016,0.25,66.6,Traces multiples,0.045,1.16,9.8,3.2,Aucune (eau du robinet),Aucune,23.9,2025-08-18,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Marseille PACA,Eau du robinet,Variable région (520 mg/L),Non,"Canal de Provence, Durance - Bouches-du-Rhône (13)",Métropole Aix-Marseille-Provence,Service public,7.7,613,520,508.1,115.0,25.0,22.0,5.7,38.2,50.0,25.0,1.81,6.0,393.5,7.2,1.9,11.3,0.068,0.66,3.6,0.062,0.12,11.4,0.012,0.33,6.6,Traces détectées,0.059,0.47,14.4,6.7,Aucune (eau du robinet),Aucune,24.7,2025-08-29,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Toulouse Occitanie,Eau du robinet,Variable région (380 mg/L),Non,"Garonne, nappes - Haute-Garonne (31)",Toulouse Métropole,Service public,7.4,420,380,382.8,85.0,15.0,12.0,1.8,23.7,25.9,22.0,1.33,22.4,944.6,11.5,4.2,29.9,0.138,0.92,3.1,0.082,0.21,20.0,0.011,0.04,24.2,Traces multiples,0.029,1.05,10.6,4.0,Aucune (eau du robinet),Aucune,8.9,2025-08-07,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Lille Hauts-de-France,Eau du robinet,Variable région (580 mg/L),Non,"Nappes craie, rivières - Nord (59)",Métropole Européenne de Lille,Service public,7.8,572,580,429.6,125.0,8.0,28.0,7.2,48.1,50.2,35.0,1.99,21.6,1340.7,14.8,3.2,34.9,0.126,0.82,1.2,0.039,0.06,19.4,0.006,0.27,59.6,Traces multiples,0.015,0.19,15.6,2.1,Aucune (eau du robinet),Aucune,17.5,2025-07-01,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
