Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Hépar,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Hépar, Vosges",Nestlé Waters France,1901,7.7,3769,2513,799.0,402.1,61.7,31.8,2.1,37.2,30.8,20.0,1.99,10.1,446.3,3.6,2.4,7.6,0.094,0.56,1.5,0.047,0.15,3.3,0.006,0.14,24.0,Traces anti-inflammatoires,0.036,1.19,50.3,16.4,Selon composition minérale,Aucune,5.6,2025-07-11,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.13,1.3,71.2,Conforme,Conforme,Eau minérale naturelle,Aucune
Vittel,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Non,"Source Vittel, Vosges",Nestlé Waters France,1883,7.2,1261,841,275.0,108.3,32.3,12.2,10.0,23.1,4.8,12.5,1.3,27.9,523.6,4.2,2.8,8.2,0.111,0.65,1.8,0.055,0.18,3.8,0.007,0.16,28.2,Traces anti-inflammatoires,0.007,0.51,13.5,8.6,Selon composition minérale,Aucune,26.1,2025-07-29,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.13,2.9,81.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Yorre,Eau minérale naturelle,Très fortement minéralisée (>3000 mg/L),Oui,"Source Saint-Yorre, Centre",Castel Group (Roxane),1904,6.0,6546,4364,1316.9,98.7,75.0,869.8,14.3,2.8,108.2,11.3,1.89,26.2,803.3,6.9,4.1,12.6,0.213,1.36,3.3,0.041,0.26,1.4,0.006,0.11,17.7,Herbicides détectés,0.05,0.43,12.3,20.0,Selon composition minérale,Aucune,29.1,2025-07-24,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.11,2.4,70.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Vichy Célestins,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Vichy, Centre",Castel Group (Roxane),1954,6.4,4992,3328,1081.6,253.1,40.5,1225.0,9.6,20.2,33.5,17.0,0.5,37.5,713.3,6.1,3.7,11.7,0.189,1.21,2.9,0.037,0.23,1.3,0.005,0.09,15.7,Herbicides détectés,0.05,0.32,31.6,10.8,Selon composition minérale,Aucune,5.4,2025-07-07,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.33,2.1,75.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Châteldon,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Châteldon, Massif Central",Groupe régional,1965,6.2,2823,1882,954.4,488.6,39.6,37.8,10.8,31.7,157.6,7.4,1.64,10.7,82.4,0.5,0.3,2.5,0.008,0.06,0.4,0.073,0.11,1.6,0.009,0.21,40.7,Non détecté,0.03,0.76,61.1,10.6,Selon composition minérale,Aucune,11.4,2025-07-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.2,2.9,42.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Arvie,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Arvie, Massif Central",Groupe régional,1899,6.2,3780,2520,1211.9,159.8,43.0,45.0,2.6,15.7,151.9,5.7,1.99,9.5,99.8,0.6,0.4,2.5,0.009,0.07,0.5,0.088,0.13,1.9,0.011,0.26,49.3,Non détecté,0.002,0.33,20.0,11.5,Selon composition minérale,Aucune,17.4,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.21,1.2,45.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Châteauneuf-Auvergne,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Châteauneuf-Auvergne, Massif Central",Groupe régional,1878,5.8,3879,2586,1359.5,389.9,7.0,31.7,13.7,28.8,146.8,3.1,0.75,33.2,88.9,0.5,0.3,3.6,0.008,0.06,0.4,0.078,0.12,1.7,0.009,0.23,43.9,Non détecté,0.002,0.99,48.7,1.9,Selon composition minérale,Aucune,6.4,2025-07-21,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.16,1.7,65.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Rozana,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Rozana, Sud",Groupe régional,1945,6.4,4987,3325,1634.0,311.3,39.6,23.0,1.1,4.3,184.2,1.4,0.24,25.3,208.3,1.6,1.1,3.8,0.033,0.21,0.9,0.031,0.09,0.6,0.003,0.06,16.4,Traces détectées,0.045,1.46,38.9,10.6,Selon composition minérale,Aucune,17.5,2025-07-28,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,2.6,80.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Orezza,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source Orezza, Sud",Groupe régional,1907,6.0,3450,2300,844.4,254.7,82.0,20.8,5.6,26.5,193.3,3.9,1.1,32.4,341.9,2.6,1.8,5.0,0.055,0.34,1.5,0.051,0.15,1.0,0.005,0.1,26.9,Traces détectées,0.01,0.06,31.8,21.9,Selon composition minérale,Aucune,24.4,2025-07-04,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,1.9,47.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Courmayeur,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Courmayeur, Import",Groupe régional,1933,7.0,3219,2146,894.5,127.4,45.8,2.3,14.7,47.2,53.5,4.9,0.4,13.4,66.0,0.4,0.3,2.6,0.005,0.03,0.3,0.025,0.08,1.0,0.002,0.04,12.2,Contrôles renforcés,0.069,0.23,15.9,12.2,Selon composition minérale,Aucune,27.7,2025-07-20,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.27,2.6,53.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Velleminfroy,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Velleminfroy, Vosges",Groupe régional,1935,7.8,3630,2420,1144.3,418.1,83.0,1.3,5.0,22.0,92.2,5.0,1.59,35.4,635.5,5.1,3.4,9.3,0.134,0.79,2.2,0.067,0.22,4.6,0.009,0.2,34.2,Traces anti-inflammatoires,0.02,0.05,52.3,22.1,Selon composition minérale,Aucune,17.6,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.32,1.8,41.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Antonin,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Saint-Antonin, Sud",Groupe régional,1886,7.5,3660,2440,704.8,90.8,45.6,8.1,9.1,10.1,4.4,2.6,1.11,14.9,247.4,1.9,1.3,5.1,0.04,0.25,1.1,0.037,0.11,0.7,0.004,0.07,19.4,Traces détectées,0.012,1.01,11.3,12.2,Selon composition minérale,Aucune,5.1,2025-07-17,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,2.3,74.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Aizac,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source Aizac, Sud",Groupe régional,1986,5.9,705,470,233.5,365.4,96.8,26.5,8.5,13.2,49.9,1.7,1.79,39.4,219.9,1.6,1.2,5.1,0.035,0.22,0.9,0.033,0.09,0.6,0.003,0.06,17.3,Traces détectées,0.071,1.33,45.7,25.8,Selon composition minérale,Aucune,14.8,2025-07-30,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.11,2.7,78.2,Conforme,Conforme,Eau minérale naturelle,Aucune
Chambon,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Chambon, Centre",Groupe régional,1973,7.6,523,349,137.1,326.9,41.1,38.9,14.2,47.4,70.3,5.0,0.48,28.4,647.8,5.5,3.3,11.0,0.171,1.1,2.7,0.033,0.21,1.1,0.005,0.09,14.3,Herbicides détectés,0.042,1.35,40.9,11.0,Selon composition minérale,Aucune,8.1,2025-07-12,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.25,2.5,55.4,Conforme,Conforme,Eau minérale naturelle,Aucune
César,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source César, Massif Central",Groupe régional,1973,8.0,480,320,152.0,307.8,94.4,38.9,9.5,28.6,117.5,19.5,1.28,32.6,60.2,0.4,0.2,1.5,0.006,0.04,0.3,0.053,0.08,1.1,0.006,0.16,29.8,Non détecté,0.023,1.36,38.5,25.2,Selon composition minérale,Aucune,7.5,2025-07-28,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.2,3.0,73.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Biovive,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Biovive, Sud",Groupe régional,1987,6.9,367,245,126.1,193.3,58.3,45.0,8.5,10.5,114.1,5.4,0.46,35.5,346.5,2.6,1.9,5.9,0.056,0.35,1.5,0.052,0.15,1.0,0.005,0.1,27.2,Traces détectées,0.04,1.26,24.2,15.5,Selon composition minérale,Aucune,21.0,2025-07-13,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.29,2.7,43.0,Conforme,Conforme,Eau minérale naturelle,Aucune
Carola,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source Carola, Vosges",Groupe régional,1948,6.1,750,500,227.5,464.3,74.5,45.3,12.8,38.7,79.8,1.9,1.23,24.1,406.8,3.3,2.2,6.3,0.086,0.51,1.4,0.043,0.14,3.0,0.005,0.13,21.9,Traces anti-inflammatoires,0.079,0.46,58.0,19.9,Selon composition minérale,Aucune,8.6,2025-07-03,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.17,1.8,49.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Alet,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Alet, Sud",Groupe régional,1917,6.8,435,290,132.8,469.0,28.7,31.5,6.7,5.9,129.6,12.4,1.09,6.0,243.3,1.8,1.3,4.9,0.039,0.24,1.0,0.036,0.1,0.7,0.003,0.07,19.1,Traces détectées,0.076,0.57,58.6,7.7,Selon composition minérale,Aucune,7.4,2025-07-03,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.2,1.5,83.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Cristaline (Multi-sources),Eau de source,Variable selon source,Non,"Source Cristaline, Centre",Groupe régional,Non applicable,7.0,430,287,108.3,10.1,29.3,37.3,3.1,1.1,12.6,17.5,0.51,24.2,1083.3,9.2,5.6,29.3,0.287,1.83,4.5,0.031,0.19,1.9,0.004,0.08,13.3,Herbicides détectés,0.002,0.45,1.3,7.8,Selon composition minérale,Aucune,5.6,2025-07-22,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.11,1.3,42.2,Conforme,Conforme,Eau de source,Aucune
Source Montclar,Eau de source,Faiblement minéralisée,Non,"Source Source, Sud",Groupe régional,Non applicable,7.0,630,420,129.3,401.7,41.4,30.5,0.7,20.4,125.8,31.6,0.41,20.9,440.2,3.3,2.4,11.5,0.071,0.44,1.9,0.037,0.1,1.3,0.003,0.07,19.2,Traces détectées,0.004,1.19,50.2,11.0,Selon composition minérale,Aucune,6.7,2025-07-04,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.14,1.9,47.4,Conforme,Conforme,Eau de source,Aucune
Source Adeline,Eau de source,Faiblement minéralisée,Non,"Source Source, Sud",Groupe régional,Non applicable,7.2,615,410,113.5,214.7,74.0,2.3,10.9,7.1,21.5,27.2,1.4,30.6,392.9,2.9,2.1,12.6,0.063,0.39,1.7,0.033,0.09,1.1,0.003,0.06,17.1,Traces détectées,0.067,0.77,26.8,19.7,Selon composition minérale,Aucune,28.8,2025-07-18,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.22,2.8,64.6,Conforme,Conforme,Eau de source,Aucune
Eau Royale,Eau de source,Faiblement minéralisée,Non,"Source Eau, Centre",Groupe régional,Non applicable,7.9,510,340,133.5,179.6,38.9,25.1,7.2,30.7,115.8,2.1,0.32,7.7,1306.4,11.1,6.7,35.2,0.346,2.21,5.4,0.037,0.23,2.3,0.005,0.1,16.0,Herbicides détectés,0.068,0.81,22.4,10.4,Selon composition minérale,Aucune,12.3,2025-07-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.27,1.2,61.5,Conforme,Conforme,Eau de source,Aucune
Orée du Bois,Eau de source,Faiblement minéralisée,Non,"Source Orée, Centre",Groupe régional,Non applicable,6.9,525,350,102.2,96.7,38.7,19.2,12.7,45.1,28.9,9.6,1.23,37.7,1545.4,13.2,8.0,39.2,0.409,2.61,6.4,0.044,0.28,2.7,0.006,0.11,18.9,Herbicides détectés,0.072,0.37,12.1,10.3,Selon composition minérale,Aucune,19.8,2025-07-06,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.26,1.2,55.1,Conforme,Conforme,Eau de source,Aucune
Puits-Saint-Georges,Eau de source,Faiblement minéralisée,Non,"Source Puits-Saint-Georges, Centre",Groupe régional,Non applicable,7.1,555,370,126.1,379.0,15.2,48.2,5.3,46.8,127.6,20.0,0.27,30.1,1103.2,9.4,5.7,28.1,0.292,1.87,4.5,0.032,0.2,1.9,0.005,0.08,13.5,Herbicides détectés,0.033,1.02,47.4,4.1,Selon composition minérale,Aucune,26.6,2025-07-07,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,1.8,53.7,Conforme,Conforme,Eau de source,Aucune
Ondine (Leclerc),Eau de source,Variable selon source,Non,"Source Ondine, Ile de France",Groupe régional,Non applicable,7.7,315,210,102.6,444.9,47.5,17.0,0.6,5.4,179.2,27.4,0.43,5.2,22974.2,178.7,112.3,528.3,2.785,18.1,19.7,0.032,0.19,42.9,0.028,0.23,10.3,Cocktail >15 molécules,0.035,0.92,55.6,12.7,Selon composition minérale,Déconseillée populations sensibles,29.0,2025-07-30,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille verre,0.29,1.9,64.4,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Carrefour Eau de Source,Eau de source,Variable selon source,Non,"Source Carrefour, Ile de France",Groupe régional,Non applicable,7.6,307,205,82.9,158.2,6.9,34.6,5.6,44.0,44.0,16.1,0.13,26.4,22232.0,172.9,108.7,509.9,2.695,17.52,19.1,0.031,0.19,41.5,0.027,0.22,10.0,Cocktail >15 molécules,0.076,0.42,19.8,1.9,Selon composition minérale,Déconseillée populations sensibles,28.6,2025-07-02,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille verre,0.14,1.3,61.8,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Auchan Eau de Source,Eau de source,Variable selon source,Non,"Source Auchan, Ile de France",Groupe régional,Non applicable,6.9,297,198,84.9,236.1,66.3,49.3,4.4,29.8,167.6,29.8,1.65,8.6,16664.4,129.6,81.5,382.2,2.02,13.13,14.3,0.023,0.14,31.1,0.021,0.17,7.5,Cocktail >15 molécules,0.003,1.44,29.5,17.7,Selon composition minérale,Déconseillée populations sensibles,22.3,2025-07-01,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille PET recyclable,0.34,2.9,68.0,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Eco+ Eau de Source,Eau de source,Variable selon source,Non,"Source Eco+, Ile de France",Groupe régional,Non applicable,7.2,303,202,108.0,492.3,53.4,38.9,10.7,49.9,179.7,33.0,0.21,39.5,10158.8,79.0,49.7,235.1,2.709,17.61,19.2,0.031,0.19,41.8,0.028,0.23,10.0,Cocktail >15 molécules,0.003,1.36,61.5,14.3,Selon composition minérale,Déconseillée populations sensibles,21.6,2025-07-04,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille PET recyclable,0.29,3.0,48.3,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Casino Eau de Source,Eau de source,Variable selon source,Non,"Source Casino, Ile de France",Groupe régional,Non applicable,7.1,310,207,118.0,160.8,91.8,4.4,3.4,4.2,22.3,9.4,1.33,29.7,7538.5,58.6,36.9,174.5,2.01,13.07,14.2,0.023,0.14,31.0,0.02,0.17,7.4,Cocktail >15 molécules,0.053,1.13,20.1,24.5,Selon composition minérale,Déconseillée populations sensibles,13.6,2025-07-28,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille verre,0.16,1.9,43.4,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Top Budget (Intermarché),Eau de source,Variable selon source,Non,"Source Top, Ile de France",Groupe régional,Non applicable,7.7,300,200,106.2,411.7,72.6,27.7,4.5,42.4,74.6,22.6,1.98,15.8,9443.6,73.5,46.2,218.7,2.518,16.37,17.8,0.029,0.17,38.8,0.026,0.21,9.3,Cocktail >15 molécules,0.008,0.94,51.5,19.4,Selon composition minérale,Déconseillée populations sensibles,18.4,2025-07-03,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille PET recyclable,0.27,2.8,45.7,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Monoprix Eau de Source,Eau de source,Variable selon source,Non,"Source Monoprix, Ile de France",Groupe régional,Non applicable,7.6,315,210,63.1,261.1,64.2,27.7,13.6,4.3,51.1,27.4,1.3,34.4,9566.4,74.4,46.8,220.4,2.551,16.58,18.1,0.03,0.18,39.3,0.026,0.21,9.4,Cocktail >15 molécules,0.057,1.31,32.6,17.1,Selon composition minérale,Déconseillée populations sensibles,3.7,2025-07-09,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille PET recyclable,0.31,1.8,59.0,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Saskia (Lidl),Eau de source,Variable selon source,Non,"Source Saskia, Ile de France",Groupe régional,Non applicable,7.5,307,205,74.3,138.9,91.3,43.8,7.4,21.0,122.9,30.6,1.87,18.6,9793.5,76.2,47.9,226.9,2.612,16.98,18.5,0.03,0.18,40.3,0.027,0.22,9.7,Cocktail >15 molécules,0.051,0.25,17.4,24.3,Selon composition minérale,Déconseillée populations sensibles,19.6,2025-07-29,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille verre,0.12,2.6,73.2,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Aldi Eau de Source,Eau de source,Variable selon source,Non,"Source Aldi, Ile de France",Groupe régional,Non applicable,7.4,300,200,52.9,405.7,51.3,42.0,11.1,34.0,26.7,25.5,1.16,18.4,5807.5,45.2,28.4,134.0,1.549,10.07,11.0,0.018,0.11,23.9,0.016,0.13,5.7,Cocktail >15 molécules,0.068,0.08,50.7,13.7,Selon composition minérale,Déconseillée populations sensibles,17.9,2025-07-17,Laboratoire agréé ANSES,Conforme avec traitement,Bouteille PET recyclable,0.32,2.3,70.1,Conforme,Non conforme - Multiples dépassements,Eau de source - Surveillance renforcée,Déconseillée populations sensibles
Fiji Water,Eau de source,Faiblement minéralisée,Non,"Source Fiji, Import",Groupe régional,Non applicable,8.0,333,222,71.2,171.3,41.7,18.7,7.5,2.1,152.2,34.0,0.95,5.9,143.5,0.9,0.7,3.7,0.011,0.07,0.7,0.031,0.1,2.2,0.002,0.05,14.7,Contrôles renforcés,0.054,0.92,21.4,11.1,Selon composition minérale,Aucune,14.5,2025-07-21,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.08,1.9,78.0,Conforme,Conforme,Eau de source,Aucune
